# rebinned data
# q            I            dI          
  6.80764e-03  2.58554e-02  3.60895e-03 
  7.00487e-03  2.48925e-02  2.49336e-03 
  7.26785e-03  2.61044e-02  2.36018e-03 
  7.53083e-03  2.55856e-02  2.21958e-03 
  7.79380e-03  2.59957e-02  2.13283e-03 
  8.05678e-03  2.63858e-02  2.03254e-03 
  8.31976e-03  2.57326e-02  1.96881e-03 
  8.58274e-03  2.63970e-02  1.88321e-03 
  8.84571e-03  2.46528e-02  1.81148e-03 
  9.10869e-03  2.64309e-02  1.75977e-03 
  9.37167e-03  2.61111e-02  1.70206e-03 
  9.63465e-03  2.60078e-02  1.64257e-03 
  9.89762e-03  2.57847e-02  1.59626e-03 
  1.01606e-02  2.65586e-02  1.54901e-03 
  1.04236e-02  2.67890e-02  1.52664e-03 
  1.06866e-02  2.69438e-02  1.47398e-03 
  1.09495e-02  2.58915e-02  1.43985e-03 
  1.12125e-02  2.57234e-02  1.39060e-03 
  1.14755e-02  2.55702e-02  1.35083e-03 
  1.17385e-02  2.54542e-02  1.30489e-03 
  1.20014e-02  2.50374e-02  1.26159e-03 
  1.22644e-02  2.50891e-02  1.20450e-03 
  1.25274e-02  2.50630e-02  1.17080e-03 
  1.27904e-02  2.53476e-02  1.13228e-03 
  1.30534e-02  2.45777e-02  1.10717e-03 
  1.33163e-02  2.51483e-02  1.08493e-03 
  1.35793e-02  2.45696e-02  1.06454e-03 
  1.38423e-02  2.46412e-02  1.04834e-03 
  1.41053e-02  2.42565e-02  1.02598e-03 
  1.43682e-02  2.37177e-02  1.01630e-03 
  1.46312e-02  2.41642e-02  9.97669e-04 
  1.48942e-02  2.41941e-02  9.86398e-04 
  1.51572e-02  2.39881e-02  9.75005e-04 
  1.54201e-02  2.39277e-02  9.61403e-04 
  1.56831e-02  2.38232e-02  9.54698e-04 
  1.59461e-02  2.37524e-02  9.37828e-04 
  1.62748e-02  2.33307e-02  7.52433e-04 
  1.66693e-02  2.33390e-02  7.40591e-04 
  1.70638e-02  2.30266e-02  7.29892e-04 
  1.74582e-02  2.28300e-02  7.18774e-04 
  1.78527e-02  2.25519e-02  7.08216e-04 
  1.82472e-02  2.25149e-02  6.98962e-04 
  1.86416e-02  2.22171e-02  6.85338e-04 
  1.90361e-02  2.20393e-02  6.77047e-04 
  1.94306e-02  2.18360e-02  6.66879e-04 
  1.98250e-02  2.15386e-02  6.57471e-04 
  2.02195e-02  2.11866e-02  6.51658e-04 
  2.06140e-02  2.10785e-02  6.40454e-04 
  2.10084e-02  2.09523e-02  6.34327e-04 
  2.14029e-02  2.03959e-02  6.25023e-04 
  2.17974e-02  2.03413e-02  6.17212e-04 
  2.21918e-02  2.02654e-02  6.11545e-04 
  2.25863e-02  1.98222e-02  6.03497e-04 
  2.29807e-02  1.95842e-02  5.96245e-04 
  2.33752e-02  1.94170e-02  5.89543e-04 
  2.37697e-02  1.91724e-02  5.84663e-04 
