# rebinned data
# q            I            dI          
  6.54466e-03  6.27569e-02  4.19432e-03 
  6.74189e-03  6.33366e-02  2.84638e-03 
  7.00487e-03  6.31055e-02  2.73899e-03 
  7.26785e-03  6.41061e-02  2.60685e-03 
  7.53083e-03  6.36657e-02  2.46745e-03 
  7.79380e-03  6.41870e-02  2.38457e-03 
  8.05678e-03  6.49369e-02  2.28758e-03 
  8.31976e-03  6.37153e-02  2.22389e-03 
  8.58274e-03  6.38599e-02  2.13418e-03 
  8.84571e-03  6.22234e-02  2.06290e-03 
  9.10869e-03  6.40109e-02  2.01321e-03 
  9.37167e-03  6.36226e-02  1.95340e-03 
  9.63465e-03  6.35510e-02  1.89438e-03 
  9.89762e-03  6.22440e-02  1.83991e-03 
  1.01606e-02  6.27141e-02  1.78781e-03 
  1.04236e-02  6.27058e-02  1.76625e-03 
  1.06866e-02  6.29871e-02  1.71088e-03 
  1.09495e-02  6.17795e-02  1.67396e-03 
  1.12125e-02  6.15067e-02  1.62070e-03 
  1.14755e-02  6.09249e-02  1.57526e-03 
  1.17385e-02  6.06538e-02  1.52556e-03 
  1.20014e-02  6.00564e-02  1.47719e-03 
  1.22644e-02  6.06038e-02  1.41750e-03 
  1.25274e-02  6.00380e-02  1.37716e-03 
  1.27904e-02  6.03880e-02  1.33467e-03 
  1.30534e-02  5.99646e-02  1.30905e-03 
  1.33163e-02  5.95546e-02  1.27780e-03 
  1.35793e-02  5.90322e-02  1.25671e-03 
  1.38423e-02  5.88241e-02  1.23778e-03 
  1.41053e-02  5.87609e-02  1.21448e-03 
  1.43682e-02  5.82783e-02  1.20612e-03 
  1.46312e-02  5.83687e-02  1.18244e-03 
  1.48942e-02  5.84211e-02  1.16979e-03 
  1.51572e-02  5.73189e-02  1.15315e-03 
  1.54201e-02  5.74270e-02  1.13830e-03 
  1.56831e-02  5.67276e-02  1.12900e-03 
  1.60118e-02  5.66097e-02  9.01936e-04 
  1.64063e-02  5.63321e-02  8.87900e-04 
  1.68008e-02  5.56495e-02  8.72706e-04 
  1.71952e-02  5.51968e-02  8.60320e-04 
  1.75897e-02  5.51999e-02  8.48564e-04 
  1.79842e-02  5.42212e-02  8.31923e-04 
  1.83786e-02  5.41670e-02  8.21323e-04 
  1.87731e-02  5.35515e-02  8.08923e-04 
  1.91676e-02  5.31194e-02  7.94166e-04 
  1.95620e-02  5.25073e-02  7.86634e-04 
  1.99565e-02  5.21523e-02  7.74005e-04 
  2.03510e-02  5.12331e-02  7.62481e-04 
  2.07454e-02  5.12380e-02  7.53786e-04 
