# rebinned data
# q            I            dI          
  8.51699e-03  1.47504e-02  2.57169e-03 
  8.71422e-03  1.43531e-02  1.76135e-03 
  8.97720e-03  1.43188e-02  1.71314e-03 
  9.24018e-03  1.53796e-02  1.64686e-03 
  9.50316e-03  1.53822e-02  1.58654e-03 
  9.76613e-03  1.49300e-02  1.54843e-03 
  1.00291e-02  1.44232e-02  1.49520e-03 
  1.02921e-02  1.49809e-02  1.45427e-03 
  1.05551e-02  1.54053e-02  1.40664e-03 
  1.08180e-02  1.50283e-02  1.36871e-03 
  1.10810e-02  1.52659e-02  1.35045e-03 
  1.13440e-02  1.46667e-02  1.29804e-03 
  1.16070e-02  1.51841e-02  1.26380e-03 
  1.18700e-02  1.42011e-02  1.19951e-03 
  1.21329e-02  1.47793e-02  1.15935e-03 
  1.23959e-02  1.46471e-02  1.12849e-03 
  1.26589e-02  1.49744e-02  1.08834e-03 
  1.29219e-02  1.46814e-02  1.05287e-03 
  1.31848e-02  1.45353e-02  1.02611e-03 
  1.34478e-02  1.44206e-02  1.00921e-03 
  1.37108e-02  1.39373e-02  9.99279e-04 
  1.39738e-02  1.39230e-02  9.73328e-04 
  1.42367e-02  1.45571e-02  9.60436e-04 
  1.44997e-02  1.44320e-02  9.49850e-04 
  1.47627e-02  1.40110e-02  9.33449e-04 
  1.50257e-02  1.37684e-02  9.29443e-04 
  1.52887e-02  1.38349e-02  9.06714e-04 
  1.55516e-02  1.41254e-02  8.97496e-04 
  1.58146e-02  1.36612e-02  8.89160e-04 
  1.60776e-02  1.36573e-02  8.74511e-04 
  1.63406e-02  1.36509e-02  8.66989e-04 
  1.66035e-02  1.34433e-02  8.53023e-04 
  1.68665e-02  1.33423e-02  8.46874e-04 
  1.71295e-02  1.29563e-02  8.37702e-04 
  1.73925e-02  1.27349e-02  8.28900e-04 
  1.76555e-02  1.30871e-02  8.23452e-04 
  1.79842e-02  1.24732e-02  6.60056e-04 
  1.83786e-02  1.24812e-02  6.50751e-04 
  1.87731e-02  1.22357e-02  6.41546e-04 
