# rebinned data
# q            I            dI          
  6.54466e-03  2.58105e-02  3.77174e-03 
  6.74189e-03  2.40380e-02  2.52967e-03 
  7.00487e-03  2.35744e-02  2.42937e-03 
  7.26785e-03  2.48937e-02  2.29478e-03 
  7.53083e-03  2.28709e-02  2.15523e-03 
  7.79380e-03  2.42908e-02  2.07507e-03 
  8.05678e-03  2.29824e-02  1.96790e-03 
  8.31976e-03  2.27134e-02  1.91132e-03 
  8.58274e-03  2.23701e-02  1.82596e-03 
  8.84571e-03  2.30060e-02  1.75809e-03 
  9.10869e-03  2.25379e-02  1.70808e-03 
  9.37167e-03  2.29352e-02  1.64540e-03 
  9.63465e-03  2.26230e-02  1.59591e-03 
  9.89762e-03  2.34991e-02  1.54532e-03 
  1.01606e-02  2.23999e-02  1.48929e-03 
  1.04236e-02  2.20552e-02  1.47659e-03 
  1.06866e-02  2.17833e-02  1.42338e-03 
  1.09495e-02  2.22392e-02  1.39597e-03 
  1.12125e-02  2.23653e-02  1.34605e-03 
  1.14755e-02  2.19296e-02  1.30705e-03 
  1.17385e-02  2.17740e-02  1.25984e-03 
  1.20014e-02  2.13602e-02  1.21449e-03 
  1.22644e-02  2.15038e-02  1.16263e-03 
  1.25274e-02  2.13526e-02  1.13261e-03 
  1.27904e-02  2.10123e-02  1.09164e-03 
  1.30534e-02  2.09396e-02  1.07024e-03 
  1.33163e-02  2.12616e-02  1.04481e-03 
  1.35793e-02  2.11801e-02  1.02637e-03 
  1.38423e-02  2.07656e-02  1.01052e-03 
  1.41053e-02  2.04245e-02  9.90673e-04 
  1.43682e-02  2.07397e-02  9.87099e-04 
  1.46312e-02  2.02267e-02  9.64648e-04 
  1.48942e-02  2.01188e-02  9.50539e-04 
  1.51572e-02  2.00064e-02  9.40064e-04 
  1.54201e-02  2.04918e-02  9.27264e-04 
  1.56831e-02  1.99200e-02  9.21364e-04 
  1.60118e-02  1.98892e-02  7.36578e-04 
  1.64063e-02  1.97391e-02  7.24275e-04 
  1.68008e-02  1.91994e-02  7.12070e-04 
  1.71952e-02  1.90965e-02  7.01845e-04 
  1.75897e-02  1.88284e-02  6.92661e-04 
  1.79842e-02  1.90117e-02  6.79810e-04 
  1.83786e-02  1.85595e-02  6.71214e-04 
  1.87731e-02  1.84939e-02  6.60485e-04 
  1.91676e-02  1.81657e-02  6.50905e-04 
  1.95620e-02  1.82357e-02  6.45619e-04 
  1.99565e-02  1.77134e-02  6.34694e-04 
  2.03510e-02  1.78646e-02  6.26971e-04 
  2.07454e-02  1.77004e-02  6.18894e-04 
  2.11399e-02  1.74023e-02  6.11511e-04 
  2.15344e-02  1.70847e-02  6.04579e-04 
  2.19288e-02  1.68637e-02  5.95368e-04 
  2.23233e-02  1.67295e-02  5.90330e-04 
  2.27178e-02  1.65801e-02  5.82946e-04 
  2.31122e-02  1.64735e-02  5.76377e-04 
  2.35067e-02  1.63915e-02  5.73001e-04 
  2.39669e-02  1.64289e-02  4.89755e-04 
  2.44929e-02  1.61057e-02  4.82060e-04 
  2.50188e-02  1.55490e-02  4.74861e-04 
  2.55448e-02  1.56017e-02  4.69365e-04 
  2.60707e-02  1.54760e-02  4.64255e-04 
  2.65967e-02  1.52383e-02  4.58537e-04 
  2.71226e-02  1.49229e-02  4.53195e-04 
  2.76486e-02  1.46802e-02  4.47478e-04 
  2.81746e-02  1.46027e-02  4.43086e-04 
  2.87005e-02  1.45624e-02  4.37150e-04 
  2.92265e-02  1.37937e-02  4.33268e-04 
  2.97524e-02  1.37428e-02  4.27408e-04 
  3.02784e-02  1.39677e-02  4.23667e-04 
  3.08043e-02  1.36861e-02  4.18387e-04 
  3.13303e-02  1.31866e-02  4.15069e-04 
  3.19220e-02  1.30665e-02  3.66185e-04 
  3.25794e-02  1.28141e-02  3.62125e-04 
  3.32369e-02  1.26264e-02  3.59769e-04 
  3.38943e-02  1.21821e-02  3.64397e-04 
  3.45518e-02  1.22636e-02  3.65836e-04 
  3.52092e-02  1.18649e-02  3.65815e-04 
  3.58666e-02  1.17697e-02  3.75507e-04 
  3.65241e-02  1.14360e-02  3.77766e-04 
  3.71815e-02  1.10965e-02  3.78271e-04 
  3.78390e-02  1.08907e-02  3.81278e-04 
  3.84964e-02  1.06248e-02  3.73316e-04 
  3.92196e-02  1.04408e-02  3.34602e-04 
  4.00085e-02  1.01068e-02  3.30116e-04 
  4.07975e-02  9.70640e-03  3.27075e-04 
  4.15864e-02  9.50928e-03  3.23776e-04 
  4.23753e-02  9.40947e-03  3.21248e-04 
  4.31643e-02  9.13732e-03  3.19184e-04 
  4.39532e-02  9.06150e-03  3.16639e-04 
  4.47421e-02  8.69840e-03  3.13763e-04 
  4.55311e-02  8.54636e-03  3.11821e-04 
  4.63857e-02  8.18029e-03  2.91672e-04 
  4.73062e-02  7.85210e-03  2.98204e-04 
  4.82266e-02  7.73932e-03  3.01635e-04 
  4.91470e-02  7.53321e-03  3.04239e-04 
  5.00674e-02  7.13392e-03  3.05143e-04 
  5.09878e-02  6.82642e-03  3.07193e-04 
  5.19083e-02  6.73055e-03  3.08068e-04 
  5.28287e-02  6.66228e-03  3.08496e-04 
  5.38148e-02  6.39338e-03  2.89635e-04 
  5.48668e-02  6.20803e-03  2.90226e-04 
  5.59187e-02  5.84380e-03  2.90658e-04 
  5.69706e-02  5.59808e-03  2.90513e-04 
  5.80225e-02  5.32184e-03  2.88977e-04 
  5.90744e-02  5.25103e-03  2.86531e-04 
  6.01263e-02  5.18755e-03  2.83677e-04 
  6.12440e-02  4.88455e-03  2.65627e-04 
  6.24274e-02  4.57889e-03  2.64353e-04 
  6.36108e-02  4.46999e-03  2.62693e-04 
  6.47942e-02  4.37565e-03  2.61637e-04 
  6.59776e-02  4.17768e-03  2.59680e-04 
  6.72267e-02  3.83833e-03  2.44902e-04 
  6.85416e-02  3.77343e-03  2.43314e-04 
  6.98565e-02  3.71551e-03  2.41941e-04 
  7.11714e-02  3.54996e-03  2.40741e-04 
  7.24862e-02  3.33727e-03  2.38880e-04 
  7.38011e-02  3.15068e-03  2.37504e-04 
  7.51818e-02  3.07445e-03  2.25075e-04 
  7.66281e-02  2.95434e-03  2.23341e-04 
  7.80745e-02  2.78527e-03  2.22152e-04 
  7.95209e-02  2.65951e-03  2.20672e-04 
  8.09673e-02  2.64367e-03  2.19554e-04 
  8.24794e-02  2.48730e-03  2.08803e-04 
  8.40572e-02  2.37782e-03  2.07551e-04 
  8.56351e-02  2.33400e-03  2.06088e-04 
  8.72130e-02  2.20320e-03  2.04973e-04 
  8.88566e-02  2.29321e-03  1.95668e-04 
  9.05659e-02  2.19246e-03  1.94595e-04 
  9.22753e-02  2.11946e-03  2.03210e-04 
  9.39846e-02  2.01293e-03  1.97543e-04 
  9.57597e-02  2.11037e-03  1.87696e-04 
  9.76006e-02  2.07269e-03  1.85106e-04 
  9.94414e-02  2.14728e-03  1.82416e-04 
  1.01282e-01  2.03775e-03  1.81690e-04 
  1.03189e-01  2.12210e-03  1.74260e-04 
  1.05161e-01  2.10581e-03  1.73237e-04 
  1.07134e-01  2.12222e-03  1.77446e-04 
  1.09172e-01  2.05054e-03  1.82692e-04 
  1.11275e-01  2.04320e-03  1.87386e-04 
  1.13379e-01  2.06635e-03  1.77454e-04 
  1.15483e-01  2.03002e-03  1.72761e-04 
  1.17653e-01  2.07351e-03  1.63603e-04 
  1.19888e-01  2.06388e-03  1.59508e-04 
  1.22123e-01  2.03784e-03  1.57103e-04 
  1.24424e-01  1.99881e-03  1.51456e-04 
  1.26791e-01  2.00691e-03  1.50034e-04 
  1.29224e-01  2.01059e-03  1.44817e-04 
  1.31722e-01  2.06314e-03  1.43776e-04 
