# q I_dat dI_dat
0.006808 0.025855 0.001049
0.007005 0.024892 0.000725
0.007268 0.026104 0.000686
0.007531 0.025586 0.000645
0.007794 0.025996 0.000620
0.008057 0.026386 0.000591
0.008320 0.025733 0.000572
0.008583 0.026397 0.000548
0.008846 0.024653 0.000527
0.009109 0.026431 0.000512
0.009372 0.026111 0.000495
0.009635 0.026008 0.000478
0.009898 0.025785 0.000464
0.010161 0.026559 0.000450
0.010424 0.026789 0.000444
0.010687 0.026944 0.000429
0.010949 0.025891 0.000419
0.011212 0.025723 0.000404
0.011475 0.025570 0.000393
0.011738 0.025454 0.000379
0.012001 0.025037 0.000367
0.012264 0.025089 0.000350
0.012527 0.025063 0.000340
0.012790 0.025348 0.000329
0.013053 0.024578 0.000322
0.013316 0.025148 0.000315
0.013579 0.024570 0.000310
0.013842 0.024641 0.000305
0.014105 0.024256 0.000298
0.014368 0.023718 0.000295
0.014631 0.024164 0.000290
0.014894 0.024194 0.000287
0.015157 0.023988 0.000283
0.015420 0.023928 0.000280
0.015683 0.023823 0.000278
0.015946 0.023752 0.000273
0.016275 0.023331 0.000219
0.016669 0.023339 0.000215
0.017064 0.023027 0.000212
0.017458 0.022830 0.000209
0.017853 0.022552 0.000206
0.018247 0.022515 0.000203
0.018642 0.022217 0.000199
0.019036 0.022039 0.000197
0.019431 0.021836 0.000194
0.019825 0.021539 0.000191
0.020219 0.021187 0.000189
0.020614 0.021079 0.000186
0.021008 0.020952 0.000184
0.021403 0.020396 0.000182
0.021797 0.020341 0.000179
0.022192 0.020265 0.000178
0.022586 0.019822 0.000175
0.022981 0.019584 0.000173
0.023375 0.019417 0.000171
0.023770 0.019172 0.000170
0.024230 0.019058 0.000145
0.024756 0.018608 0.000143
0.025282 0.018381 0.000141
0.025808 0.018036 0.000139
0.026334 0.017564 0.000137
0.026860 0.017348 0.000136
0.027386 0.017054 0.000134
0.027912 0.016739 0.000132
0.028438 0.016370 0.000131
0.028964 0.016088 0.000129
0.029489 0.015651 0.000128
0.030015 0.015511 0.000126
0.030541 0.014998 0.000125
0.031067 0.014918 0.000123
0.031593 0.014574 0.000122
0.032185 0.014072 0.000108
0.032842 0.013943 0.000107
0.033500 0.013434 0.000107
0.034157 0.012888 0.000108
0.034815 0.012891 0.000108
0.035472 0.012276 0.000109
0.036130 0.011962 0.000111
0.036787 0.011805 0.000111
0.037444 0.011374 0.000112
0.038102 0.011156 0.000112
0.038759 0.010797 0.000109
0.039483 0.010502 0.000098
0.040271 0.010060 0.000097
0.041060 0.009763 0.000096
0.041849 0.009220 0.000095
0.042638 0.009097 0.000094
0.043427 0.008677 0.000093
0.044216 0.008279 0.000092
0.045005 0.007911 0.000092
0.045794 0.007632 0.000091
0.046649 0.007345 0.000086
0.047569 0.007162 0.000088
0.048490 0.006621 0.000088
0.049410 0.006286 0.000089
0.050330 0.005961 0.000089
0.051251 0.005621 0.000089
0.052171 0.005516 0.000090
0.053092 0.005253 0.000090
0.054078 0.004871 0.000084
0.055130 0.004729 0.000084
0.056182 0.004427 0.000084
0.057234 0.004055 0.000084
0.058286 0.003828 0.000084
0.059337 0.003577 0.000083
0.060389 0.003371 0.000082
0.061507 0.003136 0.000077
0.062690 0.002942 0.000077
0.063874 0.002646 0.000076
0.065057 0.002583 0.000076
0.066240 0.002354 0.000075
0.067490 0.002124 0.000071
0.068805 0.002036 0.000070
0.070119 0.001905 0.000070
0.071434 0.001701 0.000070
0.072749 0.001569 0.000069
0.074064 0.001431 0.000069
0.075445 0.001506 0.000065
0.076891 0.001247 0.000065
0.078337 0.001180 0.000064
0.079784 0.001261 0.000064
0.081230 0.001197 0.000064
0.082742 0.001187 0.000061
0.084320 0.001125 0.000060
0.085898 0.001043 0.000060
0.087476 0.001049 0.000060
0.089120 0.001096 0.000057
0.090829 0.001140 0.000057
0.092538 0.001127 0.000059
0.094248 0.001246 0.000058
0.096023 0.001204 0.000055
0.097864 0.001325 0.000054
0.099704 0.001411 0.000053
0.101545 0.001386 0.000053
0.103452 0.001510 0.000051
0.105424 0.001574 0.000051
0.107396 0.001665 0.000052
0.109435 0.001738 0.000054
0.111538 0.001727 0.000055
0.113642 0.001819 0.000052
0.115746 0.001804 0.000051
0.117916 0.002023 0.000048
0.120151 0.001971 0.000047
0.122386 0.001969 0.000046
0.124687 0.002049 0.000044
0.127054 0.002076 0.000044
0.129487 0.002124 0.000043
0.131985 0.002100 0.000042
0.134483 0.002151 0.000042
0.137047 0.002219 0.000041
0.139677 0.002098 0.000040
0.142307 0.002146 0.000040
0.145002 0.002083 0.000039
0.147764 0.002078 0.000038
0.150591 0.002105 0.000037
0.153483 0.002053 0.000037
0.156376 0.002029 0.000037
0.159335 0.001961 0.000036
0.162359 0.001850 0.000035
0.165449 0.001810 0.000034
0.168604 0.001785 0.000034
0.171826 0.001755 0.000033
0.175113 0.001680 0.000033
0.178466 0.001584 0.000032
0.181885 0.001492 0.000034
0.185369 0.001427 0.000034
0.188919 0.001300 0.000032
0.192535 0.001299 0.000030
0.196217 0.001188 0.000030
0.199965 0.001165 0.000029
0.203778 0.001050 0.000029
0.207657 0.000975 0.000028
0.211667 0.000956 0.000027
0.215743 0.000917 0.000027
0.219885 0.000855 0.000026
0.224093 0.000816 0.000026
0.228366 0.000754 0.000026
0.232771 0.000694 0.000027
0.237242 0.000671 0.000028
0.241778 0.000642 0.000028
0.246446 0.000604 0.000027
0.251245 0.000620 0.000027
0.256110 0.000596 0.000031
0.261041 0.000568 0.000033
0.266103 0.000590 0.000035
0.271231 0.000621 0.000037
0.276425 0.000561 0.000038
0.281751 0.000485 0.000040
0.287207 0.000556 0.000042
0.292796 0.000488 0.000044
0.298515 0.000504 0.000046
0.304301 0.000527 0.000049
0.310152 0.000528 0.000053
0.316135 0.000464 0.000059
0.322249 0.000510 0.000067
0.328495 0.000398 0.000080
0.334872 0.000460 0.000111
0.339080 0.000501 0.000293
