# q I_fit
# reduced chi-square = 11.38
0.006808 0.041134
0.006974 0.041086
0.007140 0.041038
0.007306 0.040988
0.007473 0.040937
0.007639 0.040886
0.007805 0.040833
0.007971 0.040779
0.008137 0.040724
0.008304 0.040668
0.008470 0.040611
0.008636 0.040553
0.008802 0.040493
0.008968 0.040433
0.009135 0.040372
0.009301 0.040310
0.009467 0.040246
0.009633 0.040182
0.009800 0.040117
0.009966 0.040050
0.010132 0.039983
0.010298 0.039915
0.010464 0.039845
0.010631 0.039775
0.010797 0.039704
0.010963 0.039631
0.011129 0.039558
0.011296 0.039484
0.011462 0.039409
0.011628 0.039333
0.011794 0.039255
0.011960 0.039177
0.012127 0.039098
0.012293 0.039019
0.012459 0.038938
0.012625 0.038856
0.012792 0.038773
0.012958 0.038690
0.013124 0.038605
0.013290 0.038520
0.013456 0.038434
0.013623 0.038347
0.013789 0.038259
0.013955 0.038170
0.014121 0.038080
0.014288 0.037990
0.014454 0.037898
0.014620 0.037806
0.014786 0.037713
0.014952 0.037619
0.015119 0.037524
0.015285 0.037429
0.015451 0.037333
0.015617 0.037236
0.015783 0.037138
0.015950 0.037039
0.016116 0.036940
0.016282 0.036840
0.016448 0.036739
0.016615 0.036637
0.016781 0.036535
0.016947 0.036432
0.017113 0.036328
0.017279 0.036223
0.017446 0.036118
0.017612 0.036012
0.017778 0.035905
0.017944 0.035798
0.018111 0.035690
0.018277 0.035581
0.018443 0.035472
0.018609 0.035362
0.018775 0.035251
0.018942 0.035140
0.019108 0.035028
0.019274 0.034916
0.019440 0.034803
0.019607 0.034689
0.019773 0.034575
0.019939 0.034460
0.020105 0.034344
0.020271 0.034228
0.020438 0.034112
0.020604 0.033995
0.020770 0.033877
0.020936 0.033759
0.021102 0.033640
0.021269 0.033521
0.021435 0.033401
0.021601 0.033281
0.021767 0.033160
0.021934 0.033039
0.022100 0.032917
0.022266 0.032795
0.022432 0.032672
0.022598 0.032549
0.022765 0.032426
0.022931 0.032302
0.023097 0.032178
0.023263 0.032053
0.023430 0.031928
0.023596 0.031802
0.023762 0.031676
0.023928 0.031550
0.024094 0.031423
0.024261 0.031296
0.024427 0.031169
0.024593 0.031041
0.024759 0.030913
0.024926 0.030785
0.025092 0.030656
0.025258 0.030527
0.025424 0.030398
0.025590 0.030268
0.025757 0.030138
0.025923 0.030008
0.026089 0.029878
0.026255 0.029747
0.026422 0.029616
0.026588 0.029485
0.026754 0.029354
0.026920 0.029222
0.027086 0.029090
0.027253 0.028959
0.027419 0.028826
0.027585 0.028694
0.027751 0.028561
0.027917 0.028429
0.028084 0.028296
0.028250 0.028163
0.028416 0.028030
0.028582 0.027897
0.028749 0.027763
0.028915 0.027630
0.029081 0.027496
0.029247 0.027362
0.029413 0.027228
0.029580 0.027095
0.029746 0.026961
0.029912 0.026827
0.030078 0.026693
0.030245 0.026558
0.030411 0.026424
0.030577 0.026290
0.030743 0.026156
0.030909 0.026021
0.031076 0.025887
0.031242 0.025753
0.031408 0.025619
0.031574 0.025484
0.031741 0.025350
0.031907 0.025216
0.032073 0.025082
0.032239 0.024948
0.032405 0.024814
0.032572 0.024680
0.032738 0.024546
0.032904 0.024412
0.033070 0.024278
0.033237 0.024145
0.033403 0.024011
0.033569 0.023878
0.033735 0.023744
0.033901 0.023611
0.034068 0.023478
0.034234 0.023345
0.034400 0.023212
0.034566 0.023080
0.034732 0.022947
0.034899 0.022815
0.035065 0.022683
0.035231 0.022551
0.035397 0.022419
0.035564 0.022287
0.035730 0.022156
0.035896 0.022025
0.036062 0.021894
0.036228 0.021763
0.036395 0.021632
0.036561 0.021502
0.036727 0.021372
0.036893 0.021242
0.037060 0.021113
0.037226 0.020983
0.037392 0.020854
0.037558 0.020726
0.037724 0.020597
0.037891 0.020469
0.038057 0.020341
0.038223 0.020213
0.038389 0.020086
0.038556 0.019959
0.038722 0.019832
0.038888 0.019706
0.039054 0.019580
0.039220 0.019454
0.039387 0.019329
0.039553 0.019204
0.039719 0.019079
0.039885 0.018955
0.040051 0.018831
0.040218 0.018707
0.040384 0.018584
0.040550 0.018461
0.040716 0.018338
0.040883 0.018216
0.041049 0.018094
0.041215 0.017973
0.041381 0.017852
0.041547 0.017732
0.041714 0.017611
0.041880 0.017492
0.042046 0.017372
0.042212 0.017253
0.042379 0.017135
0.042545 0.017017
0.042711 0.016899
0.042877 0.016782
0.043043 0.016665
0.043210 0.016549
0.043376 0.016433
0.043542 0.016318
0.043708 0.016203
0.043875 0.016088
0.044041 0.015974
