# q I_dat dI_dat
0.008517 0.014750 0.000777
0.008714 0.014353 0.000532
0.008977 0.014319 0.000518
0.009240 0.015380 0.000497
0.009503 0.015382 0.000479
0.009766 0.014930 0.000468
0.010029 0.014423 0.000452
0.010292 0.014981 0.000439
0.010555 0.015405 0.000425
0.010818 0.015028 0.000413
0.011081 0.015266 0.000408
0.011344 0.014667 0.000392
0.011607 0.015184 0.000382
0.011870 0.014201 0.000362
0.012133 0.014779 0.000350
0.012396 0.014647 0.000341
0.012659 0.014974 0.000329
0.012922 0.014681 0.000318
0.013185 0.014535 0.000310
0.013448 0.014421 0.000305
0.013711 0.013937 0.000302
0.013974 0.013923 0.000294
0.014237 0.014557 0.000290
0.014500 0.014432 0.000287
0.014763 0.014011 0.000282
0.015026 0.013768 0.000281
0.015289 0.013835 0.000274
0.015552 0.014125 0.000271
0.015815 0.013661 0.000269
0.016078 0.013657 0.000264
0.016341 0.013651 0.000262
0.016603 0.013443 0.000258
0.016866 0.013342 0.000256
0.017129 0.012956 0.000253
0.017392 0.012735 0.000250
0.017655 0.013087 0.000249
0.017984 0.012473 0.000199
0.018379 0.012481 0.000197
0.018773 0.012236 0.000194
0.019168 0.012343 0.000191
0.019562 0.012238 0.000189
0.019956 0.011942 0.000186
0.020351 0.011907 0.000184
0.020745 0.011522 0.000181
0.021140 0.011419 0.000179
0.021534 0.011534 0.000178
0.021929 0.011029 0.000175
0.022323 0.011107 0.000173
0.022718 0.010795 0.000171
0.023112 0.010696 0.000169
0.023507 0.010453 0.000168
0.023901 0.010283 0.000166
0.024296 0.010080 0.000163
0.024690 0.009753 0.000162
0.025085 0.009804 0.000160
0.025479 0.009575 0.000159
0.025939 0.009522 0.000136
0.026465 0.009067 0.000135
0.026991 0.009006 0.000133
0.027517 0.008649 0.000131
0.028043 0.008500 0.000129
0.028569 0.008251 0.000128
0.029095 0.008084 0.000127
0.029621 0.007875 0.000125
0.030147 0.007711 0.000124
0.030673 0.007336 0.000123
0.031199 0.007084 0.000121
0.031725 0.006900 0.000120
0.032251 0.006522 0.000119
0.032777 0.006522 0.000118
0.033303 0.006635 0.000118
0.033894 0.006121 0.000106
0.034552 0.005940 0.000106
0.035209 0.005593 0.000107
0.035867 0.005467 0.000110
0.036524 0.005368 0.000110
0.037182 0.005072 0.000111
0.037839 0.004731 0.000111
0.038496 0.004592 0.000109
0.039154 0.004427 0.000107
0.039811 0.004194 0.000106
0.040469 0.003876 0.000105
0.041192 0.003834 0.000095
0.041981 0.003663 0.000094
0.042770 0.003573 0.000094
0.043559 0.003116 0.000093
0.044348 0.002899 0.000092
0.045137 0.002724 0.000092
0.045926 0.002627 0.000091
