# q I_fit
# reduced chi-square = 10.88
0.007860 0.027371
0.008026 0.027334
0.008191 0.027296
0.008357 0.027258
0.008523 0.027219
0.008689 0.027179
0.008855 0.027139
0.009021 0.027098
0.009187 0.027056
0.009353 0.027013
0.009519 0.026970
0.009685 0.026926
0.009851 0.026882
0.010017 0.026836
0.010183 0.026790
0.010349 0.026744
0.010515 0.026696
0.010681 0.026648
0.010847 0.026600
0.011013 0.026550
0.011179 0.026500
0.011345 0.026450
0.011511 0.026398
0.011677 0.026346
0.011842 0.026294
0.012008 0.026240
0.012174 0.026186
0.012340 0.026132
0.012506 0.026077
0.012672 0.026021
0.012838 0.025965
0.013004 0.025908
0.013170 0.025850
0.013336 0.025792
0.013502 0.025733
0.013668 0.025673
0.013834 0.025613
0.014000 0.025553
0.014166 0.025492
0.014332 0.025430
0.014498 0.025367
0.014664 0.025304
0.014830 0.025241
0.014996 0.025177
0.015162 0.025112
0.015328 0.025047
0.015494 0.024981
0.015659 0.024915
0.015825 0.024848
0.015991 0.024781
0.016157 0.024713
0.016323 0.024645
0.016489 0.024576
0.016655 0.024506
0.016821 0.024437
0.016987 0.024366
0.017153 0.024295
0.017319 0.024224
0.017485 0.024152
0.017651 0.024080
0.017817 0.024007
0.017983 0.023933
0.018149 0.023860
0.018315 0.023785
0.018481 0.023711
0.018647 0.023636
0.018813 0.023560
0.018979 0.023484
0.019145 0.023408
0.019311 0.023331
0.019476 0.023253
0.019642 0.023176
0.019808 0.023098
0.019974 0.023019
0.020140 0.022940
0.020306 0.022861
0.020472 0.022781
0.020638 0.022701
0.020804 0.022621
0.020970 0.022540
0.021136 0.022459
0.021302 0.022377
0.021468 0.022295
0.021634 0.022213
0.021800 0.022130
0.021966 0.022048
0.022132 0.021964
0.022298 0.021881
0.022464 0.021797
0.022630 0.021713
0.022796 0.021628
0.022962 0.021543
0.023128 0.021458
0.023293 0.021373
0.023459 0.021287
0.023625 0.021201
0.023791 0.021115
0.023957 0.021029
0.024123 0.020942
0.024289 0.020855
0.024455 0.020768
0.024621 0.020680
0.024787 0.020593
0.024953 0.020505
0.025119 0.020416
0.025285 0.020328
0.025451 0.020239
0.025617 0.020151
0.025783 0.020062
0.025949 0.019973
0.026115 0.019883
0.026281 0.019794
0.026447 0.019704
0.026613 0.019614
0.026779 0.019524
0.026945 0.019434
0.027110 0.019343
0.027276 0.019253
0.027442 0.019162
0.027608 0.019071
0.027774 0.018981
0.027940 0.018889
0.028106 0.018798
0.028272 0.018707
0.028438 0.018616
0.028604 0.018524
0.028770 0.018433
0.028936 0.018341
0.029102 0.018249
0.029268 0.018157
0.029434 0.018066
0.029600 0.017974
0.029766 0.017882
0.029932 0.017790
0.030098 0.017697
0.030264 0.017605
0.030430 0.017513
0.030596 0.017421
0.030762 0.017329
0.030927 0.017236
