# q I_dat dI_dat
0.006545 0.025811 0.001229
0.006742 0.024038 0.000824
0.007005 0.023574 0.000792
0.007268 0.024894 0.000748
0.007531 0.022871 0.000702
0.007794 0.024291 0.000676
0.008057 0.022982 0.000641
0.008320 0.022713 0.000623
0.008583 0.022370 0.000595
0.008846 0.023006 0.000573
0.009109 0.022538 0.000557
0.009372 0.022935 0.000536
0.009635 0.022623 0.000520
0.009898 0.023499 0.000504
0.010161 0.022400 0.000485
0.010424 0.022055 0.000481
0.010687 0.021783 0.000464
0.010949 0.022239 0.000455
0.011212 0.022365 0.000439
0.011475 0.021930 0.000426
0.011738 0.021774 0.000411
0.012001 0.021360 0.000396
0.012264 0.021504 0.000379
0.012527 0.021353 0.000369
0.012790 0.021012 0.000356
0.013053 0.020940 0.000349
0.013316 0.021262 0.000340
0.013579 0.021180 0.000334
0.013842 0.020766 0.000329
0.014105 0.020425 0.000323
0.014368 0.020740 0.000322
0.014631 0.020227 0.000314
0.014894 0.020119 0.000310
0.015157 0.020006 0.000306
0.015420 0.020492 0.000302
0.015683 0.019920 0.000300
0.016012 0.019889 0.000240
0.016406 0.019739 0.000236
0.016801 0.019199 0.000232
0.017195 0.019096 0.000229
0.017590 0.018828 0.000226
0.017984 0.019012 0.000222
0.018379 0.018560 0.000219
0.018773 0.018494 0.000215
0.019168 0.018166 0.000212
0.019562 0.018236 0.000210
0.019956 0.017713 0.000207
0.020351 0.017865 0.000204
0.020745 0.017700 0.000202
0.021140 0.017402 0.000199
0.021534 0.017085 0.000197
0.021929 0.016864 0.000194
0.022323 0.016730 0.000192
0.022718 0.016580 0.000190
0.023112 0.016474 0.000188
0.023507 0.016392 0.000187
0.023967 0.016429 0.000160
0.024493 0.016106 0.000157
0.025019 0.015549 0.000155
0.025545 0.015602 0.000153
0.026071 0.015476 0.000151
0.026597 0.015238 0.000149
0.027123 0.014923 0.000148
0.027649 0.014680 0.000146
0.028175 0.014603 0.000144
0.028701 0.014562 0.000142
0.029227 0.013794 0.000141
0.029752 0.013743 0.000139
0.030278 0.013968 0.000138
0.030804 0.013686 0.000136
0.031330 0.013187 0.000135
0.031922 0.013067 0.000119
0.032579 0.012814 0.000118
0.033237 0.012626 0.000117
0.033894 0.012182 0.000119
0.034552 0.012264 0.000119
0.035209 0.011865 0.000119
0.035867 0.011770 0.000122
0.036524 0.011436 0.000123
0.037182 0.011096 0.000123
0.037839 0.010891 0.000124
0.038496 0.010625 0.000122
0.039220 0.010441 0.000109
0.040009 0.010107 0.000108
0.040798 0.009706 0.000107
0.041586 0.009509 0.000106
0.042375 0.009409 0.000105
0.043164 0.009137 0.000104
0.043953 0.009062 0.000103
0.044742 0.008698 0.000102
0.045531 0.008546 0.000102
0.046386 0.008180 0.000095
0.047306 0.007852 0.000097
0.048227 0.007739 0.000098
0.049147 0.007533 0.000099
0.050067 0.007134 0.000099
0.050988 0.006826 0.000100
0.051908 0.006731 0.000100
0.052829 0.006662 0.000101
0.053815 0.006393 0.000094
0.054867 0.006208 0.000095
0.055919 0.005844 0.000095
0.056971 0.005598 0.000095
0.058022 0.005322 0.000094
0.059074 0.005251 0.000093
0.060126 0.005188 0.000092
0.061244 0.004885 0.000087
0.062427 0.004579 0.000086
0.063611 0.004470 0.000086
0.064794 0.004376 0.000085
0.065978 0.004178 0.000085
0.067227 0.003838 0.000080
0.068542 0.003773 0.000079
0.069857 0.003716 0.000079
0.071171 0.003550 0.000078
0.072486 0.003337 0.000078
0.073801 0.003151 0.000077
0.075182 0.003074 0.000073
0.076628 0.002954 0.000073
0.078075 0.002785 0.000072
0.079521 0.002660 0.000072
0.080967 0.002644 0.000072
0.082479 0.002487 0.000068
0.084057 0.002378 0.000068
0.085635 0.002334 0.000067
0.087213 0.002203 0.000067
0.088857 0.002293 0.000064
0.090566 0.002192 0.000063
0.092275 0.002119 0.000066
0.093985 0.002013 0.000064
0.095760 0.002110 0.000061
0.097601 0.002073 0.000060
0.099441 0.002147 0.000059
0.101282 0.002038 0.000059
0.103189 0.002122 0.000057
0.105161 0.002106 0.000056
0.107134 0.002122 0.000058
0.109172 0.002051 0.000060
0.111275 0.002043 0.000061
0.113379 0.002066 0.000058
0.115483 0.002030 0.000056
0.117653 0.002074 0.000053
0.119888 0.002064 0.000052
0.122123 0.002038 0.000051
0.124424 0.001999 0.000049
0.126791 0.002007 0.000049
0.129224 0.002011 0.000047
0.131722 0.002063 0.000047
0.134220 0.001950 0.000046
0.136784 0.001991 0.000045
0.139414 0.002026 0.000045
0.142044 0.001991 0.000044
0.144739 0.002044 0.000043
0.147501 0.001960 0.000042
0.150328 0.002003 0.000041
0.153220 0.002064 0.000041
0.156113 0.001960 0.000041
0.159072 0.001945 0.000039
0.162096 0.001949 0.000039
0.165186 0.001917 0.000038
0.168342 0.001884 0.000038
0.171563 0.001888 0.000037
0.174850 0.001863 0.000036
0.178203 0.001811 0.000035
0.181622 0.001846 0.000037
0.185106 0.001747 0.000038
0.188657 0.001710 0.000035
0.192272 0.001707 0.000034
0.195954 0.001679 0.000033
0.199702 0.001649 0.000032
0.203515 0.001652 0.000032
0.207394 0.001610 0.000031
0.211404 0.001503 0.000030
0.215480 0.001527 0.000030
0.219622 0.001471 0.000029
0.223830 0.001483 0.000029
0.228103 0.001406 0.000028
0.232508 0.001411 0.000030
0.236979 0.001392 0.000031
0.241515 0.001383 0.000031
0.246183 0.001359 0.000031
0.250982 0.001315 0.000030
0.255847 0.001286 0.000034
0.260778 0.001246 0.000037
0.265840 0.001293 0.000039
0.270968 0.001238 0.000041
0.276162 0.001229 0.000042
0.281488 0.001169 0.000044
0.286944 0.001252 0.000047
0.292533 0.001132 0.000049
0.298252 0.001155 0.000051
0.304038 0.001124 0.000055
0.309889 0.001197 0.000059
0.315872 0.001113 0.000065
0.321986 0.001081 0.000074
0.328232 0.001147 0.000089
0.334609 0.001190 0.000121
0.338948 0.001274 0.000301
