# q I_fit
# reduced chi-square = 4.76
0.006545 0.021668
0.006711 0.021643
0.006877 0.021619
0.007044 0.021593
0.007210 0.021567
0.007376 0.021540
0.007542 0.021513
0.007709 0.021485
0.007875 0.021457
0.008041 0.021428
0.008208 0.021399
0.008374 0.021369
0.008540 0.021338
0.008706 0.021307
0.008873 0.021275
0.009039 0.021243
0.009205 0.021210
0.009372 0.021177
0.009538 0.021143
0.009704 0.021108
0.009870 0.021073
0.010037 0.021038
0.010203 0.021002
0.010369 0.020965
0.010535 0.020928
0.010702 0.020891
0.010868 0.020853
0.011034 0.020814
0.011201 0.020775
0.011367 0.020736
0.011533 0.020696
0.011699 0.020655
0.011866 0.020614
0.012032 0.020572
0.012198 0.020530
0.012365 0.020488
0.012531 0.020445
0.012697 0.020401
0.012863 0.020357
0.013030 0.020313
0.013196 0.020268
0.013362 0.020223
0.013529 0.020177
0.013695 0.020131
0.013861 0.020084
0.014027 0.020037
0.014194 0.019989
0.014360 0.019941
0.014526 0.019893
0.014693 0.019844
0.014859 0.019795
0.015025 0.019745
0.015191 0.019695
0.015358 0.019644
0.015524 0.019593
0.015690 0.019542
0.015857 0.019490
0.016023 0.019438
0.016189 0.019386
0.016355 0.019333
0.016522 0.019279
0.016688 0.019226
0.016854 0.019172
0.017021 0.019117
0.017187 0.019063
0.017353 0.019008
0.017519 0.018952
0.017686 0.018896
0.017852 0.018840
0.018018 0.018784
0.018185 0.018727
0.018351 0.018670
0.018517 0.018612
0.018683 0.018554
0.018850 0.018496
0.019016 0.018438
0.019182 0.018379
0.019349 0.018320
0.019515 0.018261
0.019681 0.018201
0.019847 0.018141
0.020014 0.018081
0.020180 0.018021
0.020346 0.017960
0.020513 0.017899
0.020679 0.017838
0.020845 0.017776
0.021011 0.017714
0.021178 0.017652
0.021344 0.017590
0.021510 0.017528
0.021677 0.017465
0.021843 0.017402
0.022009 0.017339
0.022175 0.017275
0.022342 0.017212
0.022508 0.017148
0.022674 0.017084
0.022841 0.017020
0.023007 0.016955
0.023173 0.016891
0.023339 0.016826
0.023506 0.016761
0.023672 0.016696
0.023838 0.016630
0.024005 0.016565
0.024171 0.016499
0.024337 0.016434
0.024503 0.016368
0.024670 0.016302
0.024836 0.016235
0.025002 0.016169
0.025169 0.016102
0.025335 0.016036
0.025501 0.015969
0.025667 0.015902
0.025834 0.015835
0.026000 0.015768
0.026166 0.015701
0.026333 0.015634
0.026499 0.015566
0.026665 0.015499
0.026831 0.015431
0.026998 0.015364
0.027164 0.015296
0.027330 0.015228
0.027497 0.015161
0.027663 0.015093
0.027829 0.015025
0.027995 0.014957
0.028162 0.014889
0.028328 0.014821
0.028494 0.014753
0.028661 0.014685
0.028827 0.014616
0.028993 0.014548
0.029159 0.014480
0.029326 0.014412
0.029492 0.014344
0.029658 0.014275
0.029825 0.014207
0.029991 0.014139
0.030157 0.014071
0.030323 0.014003
0.030490 0.013934
0.030656 0.013866
0.030822 0.013798
0.030989 0.013730
0.031155 0.013662
0.031321 0.013594
0.031487 0.013526
0.031654 0.013458
0.031820 0.013390
0.031986 0.013322
0.032153 0.013255
0.032319 0.013187
0.032485 0.013119
0.032651 0.013052
0.032818 0.012984
0.032984 0.012917
0.033150 0.012850
0.033317 0.012782
0.033483 0.012715
0.033649 0.012648
0.033815 0.012581
0.033982 0.012515
0.034148 0.012448
0.034314 0.012381
0.034481 0.012315
0.034647 0.012248
0.034813 0.012182
0.034979 0.012116
0.035146 0.012050
0.035312 0.011984
0.035478 0.011918
0.035645 0.011853
0.035811 0.011787
0.035977 0.011722
0.036143 0.011657
0.036310 0.011592
0.036476 0.011527
0.036642 0.011462
0.036808 0.011398
0.036975 0.011333
0.037141 0.011269
0.037307 0.011205
0.037474 0.011141
0.037640 0.011078
0.037806 0.011014
0.037972 0.010951
0.038139 0.010888
0.038305 0.010825
0.038471 0.010762
0.038638 0.010700
0.038804 0.010637
0.038970 0.010575
0.039136 0.010513
0.039303 0.010451
0.039469 0.010390
0.039635 0.010329
0.039802 0.010268
0.039968 0.010207
0.040134 0.010146
0.040300 0.010086
0.040467 0.010025
0.040633 0.009965
0.040799 0.009906
0.040966 0.009846
0.041132 0.009787
0.041298 0.009728
0.041464 0.009669
0.041631 0.009610
0.041797 0.009552
0.041963 0.009494
0.042130 0.009436
0.042296 0.009378
