# q I_dat dI_dat
0.006545 0.062757 0.001196
0.006742 0.063337 0.000812
0.007005 0.063106 0.000781
0.007268 0.064106 0.000744
0.007531 0.063666 0.000704
0.007794 0.064187 0.000680
0.008057 0.064937 0.000652
0.008320 0.063715 0.000634
0.008583 0.063860 0.000609
0.008846 0.062223 0.000588
0.009109 0.064011 0.000574
0.009372 0.063623 0.000557
0.009635 0.063551 0.000540
0.009898 0.062244 0.000525
0.010161 0.062714 0.000510
0.010424 0.062706 0.000504
0.010687 0.062987 0.000488
0.010949 0.061779 0.000477
0.011212 0.061507 0.000462
0.011475 0.060925 0.000449
0.011738 0.060654 0.000435
0.012001 0.060056 0.000421
0.012264 0.060604 0.000404
0.012527 0.060038 0.000393
0.012790 0.060388 0.000381
0.013053 0.059965 0.000373
0.013316 0.059555 0.000364
0.013579 0.059032 0.000358
0.013842 0.058824 0.000353
0.014105 0.058761 0.000346
0.014368 0.058278 0.000344
0.014631 0.058369 0.000337
0.014894 0.058421 0.000334
0.015157 0.057319 0.000329
0.015420 0.057427 0.000325
0.015683 0.056728 0.000322
0.016012 0.056610 0.000257
0.016406 0.056332 0.000253
0.016801 0.055650 0.000249
0.017195 0.055197 0.000245
0.017590 0.055200 0.000242
0.017984 0.054221 0.000237
0.018379 0.054167 0.000234
0.018773 0.053551 0.000231
0.019168 0.053119 0.000227
0.019562 0.052507 0.000224
0.019956 0.052152 0.000221
0.020351 0.051233 0.000217
0.020745 0.051238 0.000215
0.021140 0.050666 0.000212
0.021534 0.050192 0.000210
0.021929 0.049687 0.000207
0.022323 0.049246 0.000204
0.022718 0.048806 0.000202
0.023112 0.048033 0.000199
0.023507 0.047505 0.000197
0.023967 0.046800 0.000168
0.024493 0.046620 0.000166
0.025019 0.045727 0.000163
0.025545 0.045346 0.000161
0.026071 0.044425 0.000159
0.026597 0.043732 0.000157
0.027123 0.043227 0.000155
0.027649 0.042563 0.000152
0.028175 0.042075 0.000150
0.028701 0.041160 0.000148
0.029227 0.040675 0.000147
0.029752 0.040210 0.000144
0.030278 0.039249 0.000143
0.030804 0.038725 0.000141
0.031330 0.038185 0.000139
0.031922 0.037387 0.000123
0.032579 0.036866 0.000121
0.033237 0.035775 0.000120
0.033894 0.035079 0.000121
0.034552 0.034433 0.000121
0.035209 0.033464 0.000121
0.035867 0.032955 0.000124
0.036524 0.032347 0.000124
0.037182 0.031589 0.000125
0.037839 0.030848 0.000125
0.038496 0.030084 0.000122
0.039220 0.029524 0.000109
0.040009 0.028652 0.000108
0.040798 0.027835 0.000106
0.041586 0.027004 0.000105
0.042375 0.026614 0.000104
0.043164 0.025728 0.000103
0.043953 0.024902 0.000102
0.044742 0.024201 0.000101
0.045531 0.023542 0.000100
0.046386 0.022651 0.000093
0.047306 0.021972 0.000095
0.048227 0.021139 0.000095
0.049147 0.020521 0.000096
0.050067 0.019749 0.000096
0.050988 0.019047 0.000096
0.051908 0.018480 0.000096
0.052829 0.017946 0.000096
0.053815 0.017152 0.000090
0.054867 0.016476 0.000090
0.055919 0.015747 0.000090
0.056971 0.015186 0.000090
0.058022 0.014478 0.000089
0.059074 0.013961 0.000088
0.060126 0.013288 0.000087
0.061244 0.012737 0.000081
0.062427 0.012050 0.000080
0.063611 0.011425 0.000080
0.064794 0.010863 0.000079
0.065978 0.010290 0.000078
0.067227 0.009868 0.000074
0.068542 0.009374 0.000073
0.069857 0.008829 0.000072
0.071171 0.008346 0.000072
0.072486 0.007914 0.000071
0.073801 0.007360 0.000071
0.075182 0.007138 0.000067
0.076628 0.006685 0.000066
0.078075 0.006260 0.000066
0.079521 0.005973 0.000065
0.080967 0.005631 0.000065
0.082479 0.005293 0.000061
0.084057 0.005003 0.000061
0.085635 0.004646 0.000061
0.087213 0.004338 0.000060
0.088857 0.004303 0.000057
0.090566 0.004035 0.000057
0.092275 0.003821 0.000059
0.093985 0.003694 0.000058
0.095760 0.003530 0.000055
0.097601 0.003393 0.000054
0.099441 0.003310 0.000053
0.101282 0.003160 0.000053
0.103189 0.003080 0.000051
0.105161 0.002968 0.000050
0.107134 0.002824 0.000051
0.109172 0.002772 0.000053
0.111275 0.002702 0.000054
0.113379 0.002601 0.000051
0.115483 0.002474 0.000050
0.117653 0.002543 0.000047
0.119888 0.002490 0.000046
0.122123 0.002372 0.000045
0.124424 0.002402 0.000044
0.126791 0.002371 0.000043
0.129224 0.002324 0.000042
0.131722 0.002284 0.000042
0.134220 0.002269 0.000041
0.136784 0.002343 0.000040
0.139414 0.002239 0.000040
0.142044 0.002292 0.000039
0.144739 0.002186 0.000038
0.147501 0.002303 0.000038
0.150328 0.002247 0.000037
0.153220 0.002235 0.000036
0.156113 0.002212 0.000036
0.159072 0.002206 0.000035
0.162096 0.002122 0.000035
0.165186 0.002112 0.000034
0.168342 0.002055 0.000033
0.171563 0.002091 0.000032
0.174850 0.002055 0.000032
0.178203 0.001942 0.000031
0.181622 0.001867 0.000033
0.185106 0.001827 0.000034
0.188657 0.001751 0.000031
0.192272 0.001683 0.000030
0.195954 0.001636 0.000029
0.199702 0.001624 0.000029
0.203515 0.001534 0.000028
0.207394 0.001474 0.000028
0.211404 0.001432 0.000027
0.215480 0.001344 0.000027
