#Sample file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01783-01804_154_1_av.dat
#Buffer file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01761-01782_154_buffer_1_av.dat
#q(1/A)          Column          Error           
0.0026000000    -0.1051825661   0.0553280457    
0.0027314887    -0.0691327456   0.0446403834    
0.0028629774    -0.0467816756   0.0380704154    
0.0029944661    -0.0368321828   0.0327969376    
0.0031259548    -0.0264568689   0.0263761052    
0.0032574435    -0.0054448403   0.0257256331    
0.0033889322    -0.0161325905   0.0224195065    
0.0035204209    -0.0048898894   0.0230516893    
0.0036519096    -0.0011273061   0.0218721843    
0.0037833983    0.0031727071    0.0187187509    
0.0039148870    0.0050972470    0.0165839934    
0.0040463757    0.0046131816    0.0145846593    
0.0041778644    0.0124317192    0.0125026405    
0.0043093531    0.0084863083    0.0113421482    
0.0044408418    0.0113693734    0.0100226826    
0.0045723305    0.0112174726    0.0092210229    
0.0047038192    0.0156520507    0.0085952662    
0.0048353079    0.0183936354    0.0078372632    
0.0049667966    0.0199864481    0.0074228344    
0.0050982853    0.0175916912    0.0066139565    
0.0052297740    0.0179620574    0.0064467033    
0.0053612627    0.0190955319    0.0059138869    
0.0054927514    0.0230885114    0.0054952769    
0.0056242401    0.0239923952    0.0052402669    
0.0057557288    0.0237294029    0.0049879988    
0.0058872175    0.0239010598    0.0047184978    
0.0060187062    0.0247112537    0.0045852803    
0.0061501949    0.0233073223    0.0042129325    
0.0062816836    0.0252760718    0.0042308026    
0.0064131723    0.0233421220    0.0040227655    
0.0065446610    0.0243267816    0.0038603603    
0.0066761496    0.0254834813    0.0037787598    
0.0068076383    0.0258554262    0.0036089536    
0.0069391270    0.0259107161    0.0035975975    
0.0070706157    0.0238743649    0.0034532001    
0.0072021044    0.0254181981    0.0033651315    
0.0073335931    0.0267906249    0.0033102295    
0.0074650818    0.0250232194    0.0031479647    
0.0075965705    0.0261480356    0.0031299406    
0.0077280592    0.0256452814    0.0030732321    
0.0078595479    0.0263461514    0.0029582365    
0.0079910366    0.0256554086    0.0029327863    
0.0081225253    0.0271162519    0.0028149072    
0.0082540140    0.0252280877    0.0027929133    
0.0083855027    0.0262370340    0.0027757071    
0.0085169914    0.0263406239    0.0026888346    
0.0086484801    0.0264534086    0.0026374349    
0.0087799688    0.0247910424    0.0025717610    
0.0089114575    0.0245144648    0.0025518313    
0.0090429462    0.0259548450    0.0025173318    
0.0091744349    0.0269070152    0.0024597122    
0.0093059236    0.0260162189    0.0024252907    
0.0094374123    0.0262059687    0.0023887183    
0.0095689010    0.0262824905    0.0023199438    
0.0097003897    0.0257330219    0.0023259399    
0.0098318784    0.0262347558    0.0022794303    
0.0099633671    0.0253346515    0.0022352605    
0.0100948560    0.0264808035    0.0022271985    
0.0102263450    0.0266363631    0.0021534311    
0.0103578330    0.0270269424    0.0022009060    
0.0104893220    0.0265510375    0.0021162506    
0.0106208110    0.0272143381    0.0020934759    
0.0107522990    0.0266731701    0.0020755219    
0.0108837880    0.0255005769    0.0020169079    
0.0110152770    0.0262824638    0.0020554075    
0.0111467650    0.0253517048    0.0019745094    
0.0112782540    0.0260950369    0.0019586569    
0.0114097430    0.0254488121    0.0019313311    
0.0115412310    0.0256915402    0.0018891581    
0.0116727200    0.0252658730    0.0018850434    
0.0118042090    0.0256425016    0.0018048636    
0.0119356980    0.0248682104    0.0017969486    
0.0120671860    0.0252066814    0.0017712881    
0.0121986750    0.0253484061    0.0017032802    
0.0123301640    0.0248297600    0.0017035496    
0.0124616520    0.0253043603    0.0016791750    
0.0125931410    0.0248216789    0.0016320019    
0.0127246300    0.0253093918    0.0016276896    
0.0128561180    0.0253857967    0.0015744497    
