#Sample file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01871-01892_154_5_av.dat
#Buffer file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01761-01782_154_buffer_1_av.dat
#q(1/A)          Column          Error           
0.0026000000    -0.0758785645   0.0554600491    
0.0027314887    -0.0436155471   0.0447618832    
0.0028629774    -0.0272167962   0.0381699398    
0.0029944661    0.0028593331    0.0330242664    
0.0031259548    0.0081016129    0.0265846892    
0.0032574435    0.0177422787    0.0258779685    
0.0033889322    0.0181057876    0.0226536575    
0.0035204209    0.0440703383    0.0232986013    
0.0036519096    0.0352673360    0.0220374844    
0.0037833983    0.0374747682    0.0188811230    
0.0039148870    0.0413196844    0.0167649850    
0.0040463757    0.0401316138    0.0147718667    
0.0041778644    0.0472530382    0.0126910168    
0.0043093531    0.0470689200    0.0115642717    
0.0044408418    0.0522901383    0.0102692793    
0.0045723305    0.0509564653    0.0094811747    
0.0047038192    0.0537362966    0.0088402515    
0.0048353079    0.0538469555    0.0080728944    
0.0049667966    0.0563661782    0.0076760401    
0.0050982853    0.0558909990    0.0068819006    
0.0052297740    0.0554211516    0.0067224252    
0.0053612627    0.0561474851    0.0061907096    
0.0054927514    0.0620213599    0.0057910601    
0.0056242401    0.0603131702    0.0055278619    
0.0057557288    0.0595036497    0.0052691288    
0.0058872175    0.0608631334    0.0050165096    
0.0060187062    0.0607625180    0.0048826279    
0.0061501949    0.0598201492    0.0045127729    
0.0062816836    0.0617148530    0.0045421408    
0.0064131723    0.0626830381    0.0043607845    
0.0065446610    0.0627568710    0.0041943173    
0.0066761496    0.0625846795    0.0041049499    
0.0068076383    0.0640884986    0.0039442226    
0.0069391270    0.0624218599    0.0039293118    
0.0070706157    0.0637891858    0.0038169036    
0.0072021044    0.0637803724    0.0037159029    
0.0073335931    0.0644317825    0.0036571354    
0.0074650818    0.0639687350    0.0035023651    
0.0075965705    0.0633626320    0.0034765855    
0.0077280592    0.0638270482    0.0034312933    
0.0078595479    0.0645470094    0.0033122405    
0.0079910366    0.0651328262    0.0033049450    
0.0081225253    0.0647409451    0.0031637546    
0.0082540140    0.0634173242    0.0031534712    
0.0083855027    0.0640132740    0.0031366120    
0.0085169914    0.0642573798    0.0030472555    
0.0086484801    0.0634623754    0.0029888253    
0.0087799688    0.0616883493    0.0029184119    
0.0089114575    0.0627584098    0.0029163530    
0.0090429462    0.0634868485    0.0028747219    
0.0091744349    0.0645350222    0.0028192335    
0.0093059236    0.0640039508    0.0027850606    
0.0094374123    0.0632411611    0.0027398025    
0.0095689010    0.0638330103    0.0026736156    
0.0097003897    0.0632690101    0.0026844852    
0.0098318784    0.0628737953    0.0026262638    
0.0099633671    0.0616142651    0.0025775734    
0.0100948560    0.0623551993    0.0025653058    
0.0102263450    0.0630729377    0.0024908231    
0.0103578330    0.0623007154    0.0025380100    
0.0104893220    0.0631108612    0.0024570433    
0.0106208110    0.0634471121    0.0024303135    
0.0107522990    0.0625271416    0.0024087250    
0.0108837880    0.0620127323    0.0023504705    
0.0110152770    0.0615463114    0.0023840900    
0.0111467650    0.0608268520    0.0022974241    
0.0112782540    0.0621865664    0.0022865935    
0.0114097430    0.0606440916    0.0022490603    
0.0115412310    0.0612058050    0.0022062483    
0.0116727200    0.0609138451    0.0022061581    
0.0118042090    0.0603937665    0.0021076616    
0.0119356980    0.0601376065    0.0021037472    
0.0120671860    0.0599751227    0.0020742712    
0.0121986750    0.0612739802    0.0020071929    
0.0123301640    0.0599335876    0.0020021029    
0.0124616520    0.0604439868    0.0019749413    
0.0125931410    0.0596319990    0.0019198772    
0.0127246300    0.0607125440    0.0019208896    
0.0128561180    0.0600635481    0.0018535130    
0.0129876070    0.0599926495    0.0018735620    
0.0131190960    0.0599365945    0.0018287147    
0.0132505850    0.0596757406    0.0018064622    
0.0133820730    0.0594333665    0.0018076933    
0.0135135620    0.0591051270    0.0017700345    
0.0136450510    0.0589592030    0.0017844423    
0.0137765390    0.0588999923    0.0017674684    
0.0139080280    0.0587482030    0.0017333321    
0.0140395170    0.0582871596    0.0017258178    
0.0141710050    0.0592346728    0.0017092042    
0.0143024940    0.0587578285    0.0017078692    
0.0144339830    0.0577986800    0.0017035532    
0.0145654720    0.0586242906    0.0016691281    
0.0146969600    0.0581131818    0.0016753162    
0.0148284490    0.0584799400    0.0016508447    
0.0149599380    0.0583621663    0.0016578221    
