#Sample file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01915-01936_154_7_av.dat
#Buffer file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01761-01782_154_buffer_1_av.dat
#q(1/A)          Column          Error           
0.0026000000    -0.1356758473   0.0552533769    
0.0027314887    -0.1121105362   0.0444784920    
0.0028629774    -0.0932573969   0.0378633795    
0.0029944661    -0.0659224973   0.0326688639    
0.0031259548    -0.0448453708   0.0262976852    
0.0032574435    -0.0330162660   0.0255715099    
0.0033889322    -0.0300100759   0.0223529382    
0.0035204209    -0.0160088719   0.0230265412    
0.0036519096    -0.0196736604   0.0218155318    
0.0037833983    -0.0194190377   0.0186342371    
0.0039148870    -0.0091512649   0.0165340471    
0.0040463757    -0.0155271218   0.0144957427    
0.0041778644    -0.0032983537   0.0124328160    
0.0043093531    -0.0026098769   0.0112926630    
0.0044408418    0.0056216671    0.0100015448    
0.0045723305    0.0053500797    0.0091948265    
0.0047038192    0.0062833390    0.0085456454    
0.0048353079    0.0089714327    0.0077841247    
0.0049667966    0.0071679156    0.0073413998    
0.0050982853    0.0076897159    0.0065518933    
0.0052297740    0.0099442658    0.0063950641    
0.0053612627    0.0088854698    0.0058434505    
0.0054927514    0.0144250247    0.0054349112    
0.0056242401    0.0164778520    0.0051861746    
0.0057557288    0.0156271220    0.0049290814    
0.0058872175    0.0161520515    0.0046602706    
0.0060187062    0.0159449955    0.0045165890    
0.0061501949    0.0162087640    0.0041580156    
0.0062816836    0.0171440540    0.0041644439    
0.0064131723    0.0176744361    0.0039775660    
0.0065446610    0.0185860167    0.0038137109    
0.0066761496    0.0185596098    0.0037201492    
0.0068076383    0.0194589975    0.0035551869    
0.0069391270    0.0205838569    0.0035521308    
0.0070706157    0.0192659103    0.0034143518    
0.0072021044    0.0188296472    0.0033062254    
0.0073335931    0.0211605200    0.0032606970    
0.0074650818    0.0183484987    0.0030881441    
0.0075965705    0.0189029586    0.0030632939    
0.0077280592    0.0220013935    0.0030421189    
0.0078595479    0.0209618005    0.0029095430    
0.0079910366    0.0186309933    0.0028662059    
0.0081225253    0.0191191375    0.0027393951    
0.0082540140    0.0202773240    0.0027475324    
0.0083855027    0.0212432217    0.0027288872    
0.0085169914    0.0204563539    0.0026333909    
0.0086484801    0.0208013644    0.0025840616    
0.0087799688    0.0201128033    0.0025291955    
0.0089114575    0.0206356850    0.0025169455    
0.0090429462    0.0206124754    0.0024666062    
0.0091744349    0.0214770623    0.0024076946    
0.0093059236    0.0201386152    0.0023700045    
0.0094374123    0.0212759259    0.0023420871    
0.0095689010    0.0215200875    0.0022750277    
0.0097003897    0.0206678107    0.0022779892    
0.0098318784    0.0201942164    0.0022216538    
0.0099633671    0.0209811572    0.0021946432    
0.0100948560    0.0201354672    0.0021664379    
0.0102263450    0.0200918424    0.0020910075    
0.0103578330    0.0203362933    0.0021356329    
0.0104893220    0.0211538643    0.0020649077    
0.0106208110    0.0212851376    0.0020385311    
0.0107522990    0.0203168912    0.0020149966    
0.0108837880    0.0210897084    0.0019765992    
0.0110152770    0.0211540750    0.0020067779    
0.0111467650    0.0198593383    0.0019239236    
0.0112782540    0.0217243859    0.0019194088    
0.0114097430    0.0207667234    0.0018885444    
0.0115412310    0.0207580410    0.0018442424    
0.0116727200    0.0211587300    0.0018485995    
0.0118042090    0.0205243262    0.0017598058    
0.0119356980    0.0197568922    0.0017517247    
0.0120671860    0.0206219636    0.0017311095    
0.0121986750    0.0205552618    0.0016625955    
0.0123301640    0.0203711194    0.0016657379    
0.0124616520    0.0205756914    0.0016391470    
0.0125931410    0.0207750692    0.0015985015    
0.0127246300    0.0208209026    0.0015904550    
0.0128561180    0.0204405372    0.0015337991    
0.0129876070    0.0205634615    0.0015524770    
0.0131190960    0.0210102012    0.0015186678    
0.0132505850    0.0201646779    0.0014936218    
0.0133820730    0.0198299208    0.0014917223    
0.0135135620    0.0203291499    0.0014651312    
0.0136450510    0.0202513090    0.0014783383    
0.0137765390    0.0199092420    0.0014583434    
0.0139080280    0.0194593799    0.0014269248    
0.0140395170    0.0192987023    0.0014236388    
0.0141710050    0.0201443781    0.0014076276    
0.0143024940    0.0200631612    0.0014080408    
0.0144339830    0.0198188215    0.0014084435    
0.0145654720    0.0202932558    0.0013773104    
0.0146969600    0.0197342643    0.0013809860    
0.0148284490    0.0193144360    0.0013539576    
0.0149599380    0.0198978066    0.0013653118    
0.0150914260    0.0189302890    0.0013606955    
0.0152229150    0.0197401421    0.0013251087    
0.0153544040    0.0194570261    0.0013378928    
0.0154858920    0.0194167687    0.0013139210    
0.0156173810    0.0194733067    0.0013153200    
0.0157488700    0.0194318729    0.0013187378    
0.0158803590    0.0195103371    0.0012946729    
0.0160118470    0.0188218905    0.0012897554    
0.0161433360    0.0189630181    0.0012719240    
0.0162748250    0.0192400566    0.0012760504    
0.0164063130    0.0193224056    0.0012701177    
0.0165378020    0.0191088374    0.0012536806    
0.0166692910    0.0190965820    0.0012525564    
0.0168007790    0.0193655144    0.0012517920    
0.0169322680    0.0193919299    0.0012426545    
0.0170637570    0.0182994349    0.0012321056    
0.0171952460    0.0183555235    0.0012247204    
0.0173267340    0.0187738154    0.0012262863    
0.0174582230    0.0181270918    0.0012101674    
0.0175897120    0.0182984155    0.0012034359    
0.0177212000    0.0187254164    0.0012122278    
0.0178526890    0.0183304181    0.0011824822    
0.0179841780    0.0183768275    0.0011995093    
0.0181156660    0.0188183501    0.0011907766    
0.0182471550    0.0183453394    0.0011795330    
0.0183786440    0.0183187051    0.0011770720    
0.0185101330    0.0183708074    0.0011621184    
0.0186416210    0.0183542063    0.0011605008    
0.0187731100    0.0184673056    0.0011600710    
0.0189045990    0.0177532947    0.0011529498    
0.0190360870    0.0178922735    0.0011430039    
0.0191675760    0.0177627834    0.0011350822    
0.0192990650    0.0177325556    0.0011250613    
0.0194305530    0.0182521683    0.0011387381    
0.0195620420    0.0176976900    0.0011205201    
0.0196935310    0.0176314587    0.0011226389    
0.0198250190    0.0174903704    0.0011119737    
0.0199565080    0.0177892257    0.0011023696    
0.0200879970    0.0171279969    0.0011081955    
0.0202194860    0.0176625944    0.0010974483    
0.0203509740    0.0171086390    0.0011018034    
0.0204824630    0.0174797585    0.0010851334    
0.0206139520    0.0170011501    0.0010813914    
0.0207454400    0.0169128382    0.0010834748    
0.0208769290    0.0172274374    0.0010736044    
0.0210084180    0.0168148372    0.0010747649    
0.0211399060    0.0167055212    0.0010695521    
0.0212713950    0.0166215130    0.0010598881    
0.0214028840    0.0170073355    0.0010624365    
0.0215343730    0.0167142731    0.0010554374    
0.0216658610    0.0167078343    0.0010518579    
0.0217973500    0.0164483443    0.0010509923    
0.0219288390    0.0163158773    0.0010305969    
0.0220603270    0.0163237804    0.0010431506    
0.0221918160    0.0164612061    0.0010294597    
0.0223233050    0.0163091619    0.0010302153    
0.0224547930    0.0164029167    0.0010258123    
0.0225862820    0.0158545781    0.0010151380    
0.0227177710    0.0161361406    0.0010244548    
0.0228492600    0.0155380145    0.0010080599    
0.0229807480    0.0157206363    0.0010122576    
0.0231122370    0.0156078749    0.0010032027    
0.0232437260    0.0161597191    0.0009969864    
0.0233752140    0.0158700837    0.0010040479    
0.0235067030    0.0152921722    0.0009936564    
0.0236381920    0.0158800284    0.0009943991    
0.0237696800    0.0154461648    0.0009918848    
0.0239011690    0.0152216612    0.0009838184    
0.0240326580    0.0155910038    0.0009877520    
0.0241641470    0.0156894942    0.0009794373    
0.0242956350    0.0151498864    0.0009721032    
