#Sample file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/02025-02046_196_2_av.dat
#Buffer file: /dls/b21/data/2020/sm27887-1/processing/pypline/av_dat/01981-02002_196_buffer_1_av.dat
#q(1/A)          Column          Error           
0.0026000000    0.0252459528    0.0545825682    
0.0027314887    0.0575661028    0.0439188353    
0.0028629774    0.0341536722    0.0372657520    
0.0029944661    0.0296622722    0.0321819886    
0.0031259548    0.0280403744    0.0258773810    
0.0032574435    0.0391287375    0.0252028159    
0.0033889322    0.0186992306    0.0219850202    
0.0035204209    0.0243163083    0.0227637414    
0.0036519096    0.0227571667    0.0215507006    
0.0037833983    0.0264931331    0.0184466234    
0.0039148870    0.0254467447    0.0163007227    
0.0040463757    0.0264731167    0.0143411953    
0.0041778644    0.0253213203    0.0122712043    
0.0043093531    0.0250008733    0.0111461730    
0.0044408418    0.0253930708    0.0098045282    
0.0045723305    0.0244577828    0.0090192443    
0.0047038192    0.0275803083    0.0083941287    
0.0048353079    0.0264223542    0.0076561297    
0.0049667966    0.0230655711    0.0072312076    
0.0050982853    0.0258985575    0.0064339301    
0.0052297740    0.0251385481    0.0062891391    
0.0053612627    0.0249168036    0.0057586430    
0.0054927514    0.0248793747    0.0053544703    
0.0056242401    0.0240752436    0.0050968685    
0.0057557288    0.0254853828    0.0048541861    
0.0058872175    0.0260155206    0.0045750007    
0.0060187062    0.0230895731    0.0044401546    
0.0061501949    0.0260782368    0.0040927445    
0.0062816836    0.0246344877    0.0041086561    
0.0064131723    0.0246611518    0.0038996287    
0.0065446610    0.0258104808    0.0037717416    
0.0066761496    0.0235925126    0.0036577693    
0.0068076383    0.0244835461    0.0034953780    
0.0069391270    0.0237531044    0.0034902165    
0.0070706157    0.0233956968    0.0033801928    
0.0072021044    0.0251279388    0.0032688037    
0.0073335931    0.0246593972    0.0032216380    
0.0074650818    0.0231543481    0.0030629638    
0.0075965705    0.0225874337    0.0030328854    
0.0077280592    0.0246528351    0.0029929544    
0.0078595479    0.0239287554    0.0028750395    
0.0079910366    0.0239168758    0.0028474499    
0.0081225253    0.0220478721    0.0027170756    
0.0082540140    0.0228243471    0.0027082998    
0.0083855027    0.0226025371    0.0026977215    
0.0085169914    0.0224478111    0.0026133698    
0.0086484801    0.0222923746    0.0025508406    
0.0087799688    0.0232893212    0.0024880094    
0.0089114575    0.0227226072    0.0024846174    
0.0090429462    0.0227750224    0.0024331938    
0.0091744349    0.0223007288    0.0023978685    
0.0093059236    0.0233483419    0.0023448397    
0.0094374123    0.0225220812    0.0023089176    
0.0095689010    0.0234088872    0.0022565603    
0.0097003897    0.0218371731    0.0022573553    
0.0098318784    0.0234903969    0.0022036430    
0.0099633671    0.0235078918    0.0021670398    
0.0100948560    0.0222726539    0.0021427655    
0.0102263450    0.0225271272    0.0020689382    
0.0103578330    0.0224890103    0.0021303081    
0.0104893220    0.0216214800    0.0020452413    
0.0106208110    0.0216599488    0.0020213786    
0.0107522990    0.0219065723    0.0020045173    
0.0108837880    0.0217216944    0.0019542140    
0.0110152770    0.0227567950    0.0019939889    
0.0111467650    0.0227841678    0.0019171552    
0.0112782540    0.0219463749    0.0018899381    
0.0114097430    0.0221328441    0.0018720890    
0.0115412310    0.0217264503    0.0018245107    
0.0116727200    0.0212232217    0.0018200438    
0.0118042090    0.0223246964    0.0017424729    
0.0119356980    0.0212977200    0.0017265263    
0.0120671860    0.0214226678    0.0017085345    
0.0121986750    0.0212668136    0.0016483023    
0.0123301640    0.0217408514    0.0016400988    
0.0124616520    0.0212734274    0.0016224606    
0.0125931410    0.0214317238    0.0015807659    
0.0127246300    0.0213614100    0.0015716067    
0.0128561180    0.0206630954    0.0015155202    
0.0129876070    0.0206991197    0.0015358700    
0.0131190960    0.0211801198    0.0014909019    
0.0132505850    0.0212262733    0.0014749640    
0.0133820730    0.0212968608    0.0014801936    
0.0135135620    0.0212124896    0.0014470515    
0.0136450510    0.0211476244    0.0014559447    
0.0137765390    0.0204535588    0.0014443458    
0.0139080280    0.0210776452    0.0014136850    
0.0140395170    0.0206262416    0.0014079568    
0.0141710050    0.0202227358    0.0013940564    
0.0143024940    0.0205974767    0.0013939202    
0.0144339830    0.0208818880    0.0013980147    
0.0145654720    0.0202413475    0.0013639614    
0.0146969600    0.0202120514    0.0013644762    
0.0148284490    0.0196701482    0.0013422653    
0.0149599380    0.0205675511    0.0013462629    
0.0150914260    0.0200338043    0.0013467889    
0.0152229150    0.0199790202    0.0013118842    
0.0153544040    0.0208010835    0.0013240285    
0.0154858920    0.0201824795    0.0012985453    
0.0156173810    0.0199926592    0.0013048215    
0.0157488700    0.0198472960    0.0013011883    
0.0158803590    0.0202053590    0.0012840658    
0.0160118470    0.0196690066    0.0012783873    
0.0161433360    0.0197933683    0.0012648407    
0.0162748250    0.0194241612    0.0012637571    
0.0164063130    0.0197229002    0.0012535791    
0.0165378020    0.0200700898    0.0012460440    
0.0166692910    0.0191868974    0.0012367221    
0.0168007790    0.0194720318    0.0012357400    
0.0169322680    0.0189391369    0.0012275432    
0.0170637570    0.0191987016    0.0012274048    
0.0171952460    0.0189444244    0.0012087634    
0.0173267340    0.0191464089    0.0012106362    
0.0174582230    0.0191541798    0.0012044524    
0.0175897120    0.0182586865    0.0011922951    
0.0177212000    0.0190723671    0.0012023914    
0.0178526890    0.0186986517    0.0011749473    
0.0179841780    0.0192916103    0.0011822683    
0.0181156660    0.0190449773    0.0011751686    
0.0182471550    0.0189679899    0.0011672961    
0.0183786440    0.0185887508    0.0011683803    
0.0185101330    0.0181217316    0.0011519814    
0.0186416210    0.0185405301    0.0011502460    
0.0187731100    0.0186961583    0.0011402186    
0.0189045990    0.0182451377    0.0011414883    
0.0190360870    0.0183808014    0.0011375847    
0.0191675760    0.0183646030    0.0011262333    
0.0192990650    0.0177515860    0.0011183016    
0.0194305530    0.0181994634    0.0011280986    
0.0195620420    0.0183974915    0.0011144692    
0.0196935310    0.0181100091    0.0011121022    
0.0198250190    0.0172285996    0.0011007573    
0.0199565080    0.0179301593    0.0010958445    
0.0200879970    0.0179813706    0.0011013575    
0.0202194860    0.0183145748    0.0010911115    
0.0203509740    0.0179015721    0.0010930002    
0.0204824630    0.0173777184    0.0010736218    
0.0206139520    0.0174715936    0.0010730176    
0.0207454400    0.0176502825    0.0010774454    
0.0208769290    0.0179791861    0.0010653674    
0.0210084180    0.0177109458    0.0010676102    
0.0211399060    0.0171120463    0.0010610228    
0.0212713950    0.0173839284    0.0010487878    
0.0214028840    0.0168315727    0.0010508029    
0.0215343730    0.0171712379    0.0010466102    
0.0216658610    0.0172511848    0.0010440601    
0.0217973500    0.0167118588    0.0010347084    
0.0219288390    0.0170846765    0.0010267925    
0.0220603270    0.0167945022    0.0010321057    
0.0221918160    0.0164406326    0.0010204207    
0.0223233050    0.0169885710    0.0010272617    
0.0224547930    0.0167594288    0.0010197478    
0.0225862820    0.0167562778    0.0010101744    
0.0227177710    0.0164467554    0.0010157826    
0.0228492600    0.0165372786    0.0010030797    
0.0229807480    0.0163231342    0.0010088558    
0.0231122370    0.0166235884    0.0009973209    
0.0232437260    0.0164737673    0.0009886631    
0.0233752140    0.0164921614    0.0010005900    
0.0235067030    0.0163072733    0.0009880723    
0.0236381920    0.0163751243    0.0009886879    
0.0237696800    0.0161261297    0.0009814348    
0.0239011690    0.0167547038    0.0009799682    
0.0240326580    0.0167498029    0.0009834063    
0.0241641470    0.0160848555    0.0009732010    
0.0242956350    0.0162932370    0.0009675433    
0.0244271240    0.0157989263    0.0009636131    
0.0245586130    0.0162835110    0.0009563712    
0.0246901010    0.0160471689    0.0009689043    
0.0248215900    0.0157007436    0.0009570960    
0.0249530790    0.0157703013    0.0009496893    
0.0250845670    0.0152011106    0.0009475406    
0.0252160560    0.0155240165    0.0009445141    
0.0253475450    0.0157181616    0.0009486698    
0.0254790340    0.0155763561    0.0009407430    
0.0256105220    0.0156034334    0.0009310441    
0.0257420110    0.0155089666    0.0009343690    
0.0258735000    0.0156106364    0.0009286486    
0.0260049880    0.0157099606    0.0009352627    
0.0261364770    0.0150360534    0.0009283204    
0.0262679660    0.0155474546    0.0009217584    
0.0263994540    0.0154253639    0.0009249638    
0.0265309430    0.0156100404    0.0009149358    
0.0266624320    0.0150281786    0.0009164174    
0.0267939200    0.0148895898    0.0009119247    
0.0269254090    0.0152937311    0.0009092951    
0.0270568980    0.0146381677    0.0009094484    
0.0271883870    0.0149545011    0.0008986446    
0.0273198750    0.0148050749    0.0009081302    
0.0274513640    0.0149956822    0.0009013290    
0.0275828530    0.0143395204    0.0008939756    
0.0277143410    0.0150164649    0.0008964945    
0.0278458300    0.0143690834    0.0008879721    
0.0279773190    0.0144885409    0.0008936317    
0.0281088070    0.0148493501    0.0008852698    
0.0282402960    0.0144161389    0.0008830436    
0.0283717850    0.0146567917    0.0008826975    
0.0285032740    0.0149178049    0.0008794969    
0.0286347620    0.0145244107    0.0008770965    
0.0287662510    0.0144577414    0.0008780710    
0.0288977400    0.0143497620    0.0008624277    
0.0290292280    0.0140805204    0.0008699236    
0.0291607170    0.0138894830    0.0008676642    
0.0292922060    0.0136082165    0.0008616802    
0.0294236940    0.0135964172    0.0008668540    
0.0295551830    0.0141099683    0.0008529360    
0.0296866720    0.0136555964    0.0008605657    
0.0298181610    0.0136915030    0.0008564959    
0.0299496490    0.0135143172    0.0008492224    
0.0300811380    0.0141826796    0.0008528962    
0.0302126270    0.0136676746    0.0008430096    
0.0303441150    0.0142194820    0.0008475565    
0.0304756040    0.0138010733    0.0008458445    
0.0306070930    0.0141877617    0.0008429291    
0.0307385810    0.0135756189    0.0008401752    
0.0308700700    0.0132563355    0.0008336758    
0.0310015590    0.0137247587    0.0008302585    
0.0311330480    0.0129224342    0.0008345116    
0.0312645360    0.0133967161    0.0008281332    
0.0313960250    0.0132782498    0.0008320381    
0.0315275140    0.0131489151    0.0008258403    
0.0316590020    0.0132354039    0.0008210188    
0.0317904910    0.0133207054    0.0008243212    
0.0319219800    0.0128763637    0.0008167485    
0.0320534680    0.0128211034    0.0008205333    
0.0321849570    0.0130791531    0.0008113896    
0.0323164460    0.0130862847    0.0008094190    
0.0324479350    0.0127352133    0.0008148788    
0.0325794230    0.0129566152    0.0008092704    
0.0327109120    0.0124205974    0.0008085012    
0.0328424010    0.0128718265    0.0008065905    
0.0329738890    0.0127595739    0.0008015931    
0.0331053780    0.0125891115    0.0008017546    
0.0332368670    0.0127654243    0.0007980666    
0.0333683550    0.0126213813    0.0008129956    
0.0334998440    0.0123963955    0.0008078405    
0.0336313330    0.0124598851    0.0008086442    
0.0337628220    0.0126889202    0.0008201598    
0.0338943100    0.0118824683    0.0008145149    
0.0340257990    0.0117414413    0.0008153301    
0.0341572880    0.0121379807    0.0008153923    
0.0342887760    0.0122060194    0.0008157068    
0.0344202650    0.0122658636    0.0008247007    
0.0345517540    0.0119259465    0.0008153496    
0.0346832420    0.0125137644    0.0008192506    
0.0348147310    0.0124064551    0.0008151227    
0.0349462200    0.0121762672    0.0008160073    
0.0350777080    0.0119900621    0.0008209407    
0.0352091970    0.0116622331    0.0008173363    
0.0353406860    0.0117911746    0.0008082054    
0.0354721750    0.0117047362    0.0008273282    
0.0356036630    0.0116679102    0.0008317565    
0.0357351520    0.0117345661    0.0008422118    
0.0358666410    0.0117523008    0.0008426937    
0.0359981290    0.0120098692    0.0008376917    
0.0361296180    0.0116838599    0.0008438796    
0.0362611070    0.0113399263    0.0008377078    
0.0363925950    0.0112704428    0.0008497237    
0.0365240840    0.0112022069    0.0008474236    
0.0366555730    0.0114411924    0.0008393443    
0.0367870620    0.0119264513    0.0008492749    
0.0369185500    0.0114671443    0.0008426104    
0.0370500390    0.0106683276    0.0008476388    
0.0371815280    0.0110417395    0.0008419579    
0.0373130160    0.0107819702    0.0008462715    
0.0374445050    0.0115234089    0.0008506912    
0.0375759940    0.0110542814    0.0008477384    
0.0377074820    0.0110595896    0.0008548192    
0.0378389710    0.0108459743    0.0008558606    
0.0379704600    0.0108643542    0.0008504146    
0.0381019490    0.0106290856    0.0008539628    
0.0382334370    0.0107203713    0.0008447629    
0.0383649260    0.0105593962    0.0008368672    
0.0384964150    0.0106368218    0.0008355915    
0.0386279030    0.0105348885    0.0008252096    
0.0387593920    0.0106722936    0.0008312407    
0.0388908810    0.0103967351    0.0008226964    
0.0390223690    0.0107659659    0.0008254835    
0.0391538580    0.0103276934    0.0008195697    
0.0392853470    0.0105503078    0.0008149770    
0.0394168360    0.0101931741    0.0008197054    
0.0395483240    0.0104108424    0.0008151416    
0.0396798130    0.0102567254    0.0008106480    
0.0398113020    0.0105345386    0.0008108947    
0.0399427900    0.0099684819    0.0008080349    
0.0400742790    0.0098284089    0.0008132952    
0.0402057680    0.0103705745    0.0008064143    
0.0403372560    0.0096819102    0.0008023564    
0.0404687450    0.0101753139    0.0008051129    
0.0406002340    0.0094562316    0.0007987630    
